"","lengthvessel_m","gear_type","date","totalcatch_kg","length_cm","lat","lon","icesrect","month","year","fishingseason","source","species","weight_g","samplewt_g","n","Source_nameAn"
"16",14.99,"ringnet","2021-12-02",6000,20.5,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,16,"Fisher 7"
"17",14.99,"ringnet","2021-12-02",6000,21,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,7,"Fisher 7"
"18",14.99,"ringnet","2021-12-02",6000,21.5,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,5,"Fisher 7"
"19",14.99,"ringnet","2021-12-02",6000,22,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 7"
"20",14.99,"ringnet","2021-12-02",6000,22.5,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 7"
"21",14.99,"ringnet","2021-12-02",6000,23,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 7"
"22",14.99,"ringnet","2021-12-06",13000,14,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 7"
"23",14.99,"ringnet","2021-12-06",13000,14.5,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 7"
"24",14.99,"ringnet","2021-12-06",13000,15,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,5,"Fisher 7"
"25",14.99,"ringnet","2021-12-06",13000,15.5,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 7"
"26",14.99,"ringnet","2021-12-06",13000,16,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,4,"Fisher 7"
"27",14.99,"ringnet","2021-12-06",13000,16.5,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,4,"Fisher 7"
"28",14.99,"ringnet","2021-12-06",13000,17,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,9,"Fisher 7"
"29",14.99,"ringnet","2021-12-06",13000,17.5,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,8,"Fisher 7"
"30",14.99,"ringnet","2021-12-06",13000,18,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,12,"Fisher 7"
"31",14.99,"ringnet","2021-12-06",13000,18.5,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,11,"Fisher 7"
"32",14.99,"ringnet","2021-12-06",13000,19,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,14,"Fisher 7"
"33",14.99,"ringnet","2021-12-06",13000,19.5,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,10,"Fisher 7"
"34",14.99,"ringnet","2021-12-06",13000,20,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,11,"Fisher 7"
"35",14.99,"ringnet","2021-12-06",13000,20.5,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,8,"Fisher 7"
"36",14.99,"ringnet","2021-12-06",13000,21,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,4,"Fisher 7"
"37",14.99,"ringnet","2021-12-06",13000,21.5,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 7"
"38",14.99,"ringnet","2021-12-06",13000,22,50.115,-5.48833333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 7"
"39",14.99,"ringnet","2021-12-28",300000,13.5,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 7"
"40",14.99,"ringnet","2021-12-28",300000,14,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 7"
"41",14.99,"ringnet","2021-12-28",300000,14.5,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 7"
"42",14.99,"ringnet","2021-12-28",300000,15,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 7"
"43",14.99,"ringnet","2021-12-28",300000,15.5,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 7"
"44",14.99,"ringnet","2021-12-28",300000,16,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 7"
"45",14.99,"ringnet","2021-12-28",300000,16.5,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,5,"Fisher 7"
"46",14.99,"ringnet","2021-12-28",300000,17,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,10,"Fisher 7"
"47",14.99,"ringnet","2021-12-28",300000,17.5,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,12,"Fisher 7"
"48",14.99,"ringnet","2021-12-28",300000,18,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,18,"Fisher 7"
"49",14.99,"ringnet","2021-12-28",300000,18.5,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,12,"Fisher 7"
"50",14.99,"ringnet","2021-12-28",300000,19,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,9,"Fisher 7"
"51",14.99,"ringnet","2021-12-28",300000,19.5,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,8,"Fisher 7"
"52",14.99,"ringnet","2021-12-28",300000,20,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,9,"Fisher 7"
"53",14.99,"ringnet","2021-12-28",300000,20.5,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,5,"Fisher 7"
"54",14.99,"ringnet","2021-12-28",300000,21,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 7"
"55",14.99,"ringnet","2021-12-28",300000,21.5,50.0983333333333,-5.54083333333333,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 7"
"56",12,"ringnet","2021-07-25",10000,16,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"57",12,"ringnet","2021-07-25",10000,16.5,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"58",12,"ringnet","2021-07-25",10000,17,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"59",12,"ringnet","2021-07-25",10000,17.5,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"60",12,"ringnet","2021-07-25",10000,18,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 6"
"61",12,"ringnet","2021-07-25",10000,18.5,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"62",12,"ringnet","2021-07-25",10000,19,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,4,"Fisher 6"
"63",12,"ringnet","2021-07-25",10000,19.5,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,13,"Fisher 6"
"64",12,"ringnet","2021-07-25",10000,20,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,20,"Fisher 6"
"65",12,"ringnet","2021-07-25",10000,20.5,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,22,"Fisher 6"
"66",12,"ringnet","2021-07-25",10000,21,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,9,"Fisher 6"
"67",12,"ringnet","2021-07-25",10000,21.5,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,5,"Fisher 6"
"68",12,"ringnet","2021-07-25",10000,22,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,6,"Fisher 6"
"69",12,"ringnet","2021-07-25",10000,22.5,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"70",12,"ringnet","2021-07-25",10000,23,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"71",12,"ringnet","2021-07-25",10000,23.5,50.0675,-5.33583333333333,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"72",12,"ringnet","2021-07-31",5100,15.5,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"73",12,"ringnet","2021-07-31",5100,16,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 6"
"74",12,"ringnet","2021-07-31",5100,16.5,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 6"
"75",12,"ringnet","2021-07-31",5100,17,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"76",12,"ringnet","2021-07-31",5100,17.5,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"77",12,"ringnet","2021-07-31",5100,18,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,4,"Fisher 6"
"78",12,"ringnet","2021-07-31",5100,18.5,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"79",12,"ringnet","2021-07-31",5100,19,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,17,"Fisher 6"
"80",12,"ringnet","2021-07-31",5100,19.5,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,15,"Fisher 6"
"81",12,"ringnet","2021-07-31",5100,20,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,19,"Fisher 6"
"82",12,"ringnet","2021-07-31",5100,20.5,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,15,"Fisher 6"
"83",12,"ringnet","2021-07-31",5100,21,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,5,"Fisher 6"
"84",12,"ringnet","2021-07-31",5100,21.5,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"85",12,"ringnet","2021-07-31",5100,22,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,5,"Fisher 6"
"86",12,"ringnet","2021-07-31",5100,22.5,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 6"
"87",12,"ringnet","2021-07-31",5100,23,50.0916666666667,-5.46777777777778,"rect 29E4",7,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"88",12,"ringnet","2021-08-03",10000,17,50.0802777777778,-5.46944444444444,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"89",12,"ringnet","2021-08-03",10000,17.5,50.0802777777778,-5.46944444444444,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"90",12,"ringnet","2021-08-03",10000,18,50.0802777777778,-5.46944444444444,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"91",12,"ringnet","2021-08-03",10000,18.5,50.0802777777778,-5.46944444444444,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,6,"Fisher 6"
"92",12,"ringnet","2021-08-03",10000,19,50.0802777777778,-5.46944444444444,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,12,"Fisher 6"
"93",12,"ringnet","2021-08-03",10000,19.5,50.0802777777778,-5.46944444444444,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,10,"Fisher 6"
"94",12,"ringnet","2021-08-03",10000,20,50.0802777777778,-5.46944444444444,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,18,"Fisher 6"
"95",12,"ringnet","2021-08-03",10000,20.5,50.0802777777778,-5.46944444444444,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,12,"Fisher 6"
"96",12,"ringnet","2021-08-03",10000,21,50.0802777777778,-5.46944444444444,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,10,"Fisher 6"
"97",12,"ringnet","2021-08-03",10000,21.5,50.0802777777778,-5.46944444444444,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,10,"Fisher 6"
"98",12,"ringnet","2021-08-03",10000,22,50.0802777777778,-5.46944444444444,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"99",12,"ringnet","2021-08-11",15000,16,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"100",12,"ringnet","2021-08-11",15000,16.5,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"101",12,"ringnet","2021-08-11",15000,17,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"102",12,"ringnet","2021-08-11",15000,17.5,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"103",12,"ringnet","2021-08-11",15000,18,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"104",12,"ringnet","2021-08-11",15000,18.5,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,9,"Fisher 6"
"105",12,"ringnet","2021-08-11",15000,19,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,8,"Fisher 6"
"106",12,"ringnet","2021-08-11",15000,19.5,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,13,"Fisher 6"
"107",12,"ringnet","2021-08-11",15000,20,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,16,"Fisher 6"
"108",12,"ringnet","2021-08-11",15000,20.5,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,7,"Fisher 6"
"109",12,"ringnet","2021-08-11",15000,21,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,9,"Fisher 6"
"110",12,"ringnet","2021-08-11",15000,21.5,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"111",12,"ringnet","2021-08-11",15000,22,50.0519444444444,-5.30527777777778,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,4,"Fisher 6"
"112",12,"ringnet","2021-08-23",8400,16.5,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"113",12,"ringnet","2021-08-23",8400,17,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 6"
"114",12,"ringnet","2021-08-23",8400,17.5,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 6"
"115",12,"ringnet","2021-08-23",8400,18,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"116",12,"ringnet","2021-08-23",8400,18.5,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 6"
"117",12,"ringnet","2021-08-23",8400,19,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,8,"Fisher 6"
"118",12,"ringnet","2021-08-23",8400,19.5,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,6,"Fisher 6"
"119",12,"ringnet","2021-08-23",8400,20,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,12,"Fisher 6"
"120",12,"ringnet","2021-08-23",8400,20.5,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,9,"Fisher 6"
"121",12,"ringnet","2021-08-23",8400,21,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,18,"Fisher 6"
"122",12,"ringnet","2021-08-23",8400,21.5,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,4,"Fisher 6"
"123",12,"ringnet","2021-08-23",8400,22,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,6,"Fisher 6"
"124",12,"ringnet","2021-08-23",8400,22.5,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"125",12,"ringnet","2021-08-23",8400,23,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"126",12,"ringnet","2021-08-23",8400,23.5,50.115,-5.50111111111111,"rect 29E4",8,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"127",12,"ringnet","2021-09-02",15000,18.5,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"128",12,"ringnet","2021-09-02",15000,19,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"129",12,"ringnet","2021-09-02",15000,19.5,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"130",12,"ringnet","2021-09-02",15000,20,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,5,"Fisher 6"
"131",12,"ringnet","2021-09-02",15000,20.5,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,4,"Fisher 6"
"132",12,"ringnet","2021-09-02",15000,21,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,14,"Fisher 6"
"133",12,"ringnet","2021-09-02",15000,21.5,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,11,"Fisher 6"
"134",12,"ringnet","2021-09-02",15000,22,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,7,"Fisher 6"
"135",12,"ringnet","2021-09-02",15000,22.5,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,7,"Fisher 6"
"136",12,"ringnet","2021-09-02",15000,23,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"137",12,"ringnet","2021-09-02",15000,23.5,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"138",12,"ringnet","2021-09-02",15000,24,50.0625,-5.37888888888889,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"139",12,"ringnet","2021-09-22",12300,16.5,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"140",12,"ringnet","2021-09-22",12300,17,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 6"
"141",12,"ringnet","2021-09-22",12300,17.5,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"142",12,"ringnet","2021-09-22",12300,18,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"143",12,"ringnet","2021-09-22",12300,18.5,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 6"
"144",12,"ringnet","2021-09-22",12300,19,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,6,"Fisher 6"
"145",12,"ringnet","2021-09-22",12300,19.5,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,4,"Fisher 6"
"146",12,"ringnet","2021-09-22",12300,20,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,12,"Fisher 6"
"147",12,"ringnet","2021-09-22",12300,20.5,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,12,"Fisher 6"
"148",12,"ringnet","2021-09-22",12300,21,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,19,"Fisher 6"
"149",12,"ringnet","2021-09-22",12300,21.5,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"150",12,"ringnet","2021-09-22",12300,22,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,7,"Fisher 6"
"151",12,"ringnet","2021-09-22",12300,22.5,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,5,"Fisher 6"
"152",12,"ringnet","2021-09-22",12300,23,50.0538888888889,-5.36833333333333,"rect 29E4",9,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"153",12,"ringnet","2021-11-17",15500,18.5,50.1575,-5.03,"rect 29E4",11,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"154",12,"ringnet","2021-11-17",15500,19,50.1575,-5.03,"rect 29E4",11,2021,"2021-2022","fishers","PIL",NA,NA,13,"Fisher 6"
"155",12,"ringnet","2021-11-17",15500,19.5,50.1575,-5.03,"rect 29E4",11,2021,"2021-2022","fishers","PIL",NA,NA,13,"Fisher 6"
"156",12,"ringnet","2021-11-17",15500,20,50.1575,-5.03,"rect 29E4",11,2021,"2021-2022","fishers","PIL",NA,NA,16,"Fisher 6"
"157",12,"ringnet","2021-11-17",15500,20.5,50.1575,-5.03,"rect 29E4",11,2021,"2021-2022","fishers","PIL",NA,NA,10,"Fisher 6"
"158",12,"ringnet","2021-11-17",15500,21,50.1575,-5.03,"rect 29E4",11,2021,"2021-2022","fishers","PIL",NA,NA,7,"Fisher 6"
"159",12,"ringnet","2021-11-17",15500,21.5,50.1575,-5.03,"rect 29E4",11,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"160",12,"ringnet","2021-11-17",15500,22,50.1575,-5.03,"rect 29E4",11,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
"161",12,"ringnet","2021-11-17",15500,22.5,50.1575,-5.03,"rect 29E4",11,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 6"
"162",12,"ringnet","2021-11-29",15100,17.5,50.0997222222222,-5.71111111111111,"rect 29E4",11,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 6"
"163",12,"ringnet","2021-11-29",15100,18,50.0997222222222,-5.71111111111111,"rect 29E4",11,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 6"
